arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
T_tp_paper,19,ALL,571,0.888663,0.821473,0.879569,469,0.883482,0.823499,0.892032
T_tp_paper,19,SMC,27,0.660088,0.643527,0.708279,0,nan,nan,nan
T_tp_paper,19,<70 bpm,63,0.746645,0.652532,0.762739,36,0.663555,0.418559,0.693784
T_tp_paper,19,SMC <70,15,0.627674,0.620661,0.689126,0,nan,nan,nan
T_tp_paper,19,>=70 bpm,508,0.906275,0.842424,0.894058,433,0.901767,0.857166,0.908514
T_tp_paper,19,bpm 0-70,63,0.746645,0.652532,0.762739,36,0.663555,0.418559,0.693784
T_tp_paper,19,bpm 70-100,138,0.868560,0.836202,0.878505,97,0.883400,0.833670,0.893162
T_tp_paper,19,bpm 100-130,198,0.932096,0.903707,0.932860,170,0.925782,0.906000,0.925698
T_tp_paper,19,bpm 130-160,88,0.915008,0.841161,0.918176,82,0.890761,0.845569,0.927176
T_tp_paper,19,bpm 160+,84,0.898225,0.709515,0.802881,84,0.885121,0.796790,0.873247
T_tp_paper,19,ds:asap,56,0.795762,0.600070,0.748865,56,0.741520,0.523583,0.736892
T_tp_paper,19,ds:ballroom,86,0.958764,0.915420,0.920842,86,0.965193,0.960212,0.973819
T_tp_paper,19,ds:beatles,23,0.935777,0.861219,0.912874,23,0.885569,0.808536,0.868365
T_tp_paper,19,ds:candombe,5,0.987185,0.978377,0.978377,5,0.970899,0.971429,0.971429
T_tp_paper,19,ds:filosax,6,0.986193,0.920748,0.920748,6,0.996124,0.984848,0.984848
T_tp_paper,19,ds:groove_midi,42,0.894185,0.849014,0.871146,42,0.896477,0.853907,0.897959
T_tp_paper,19,ds:guitarset,23,0.882694,0.871161,0.892392,23,0.854048,0.944167,0.944167
T_tp_paper,19,ds:hainsworth,28,0.917499,0.838062,0.909490,28,0.676453,0.582274,0.686119
T_tp_paper,19,ds:harmonix,114,0.958687,0.896534,0.963058,114,0.935966,0.856563,0.942784
T_tp_paper,19,ds:hjdb,29,0.945069,0.926390,0.928271,29,0.945906,0.975000,0.975000
T_tp_paper,19,ds:jaah,15,0.914144,0.728926,0.728926,15,0.815413,0.749231,0.811279
T_tp_paper,19,ds:rwc,29,0.862688,0.791775,0.852501,29,0.837449,0.820222,0.857427
T_tp_paper,19,ds:simac,75,0.790402,0.755093,0.844371,0,nan,nan,nan
T_tp_paper,19,ds:smc,27,0.660088,0.643527,0.708279,0,nan,nan,nan
T_tp_paper,19,ds:tapcorrect,13,0.919738,0.797900,0.945971,13,0.902903,0.779075,0.860119
