arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
U_N375,99,ALL,571,0.826129,0.700949,0.767163,469,0.738362,0.569544,0.669554
U_N375,99,SMC,27,0.586061,0.435360,0.518391,0,nan,nan,nan
U_N375,99,<70 bpm,63,0.658222,0.477849,0.620397,36,0.539241,0.240920,0.441973
U_N375,99,SMC <70,15,0.495364,0.377819,0.510782,0,nan,nan,nan
U_N375,99,>=70 bpm,508,0.846952,0.728617,0.785365,433,0.754917,0.596866,0.688475
U_N375,99,bpm 0-70,63,0.658222,0.477849,0.620397,36,0.539241,0.240920,0.441973
U_N375,99,bpm 70-100,138,0.827624,0.746922,0.777178,97,0.775662,0.664842,0.719381
U_N375,99,bpm 100-130,198,0.876970,0.802248,0.833640,170,0.794679,0.675542,0.736584
U_N375,99,bpm 130-160,88,0.850314,0.707455,0.802061,82,0.751306,0.576799,0.725256
U_N375,99,bpm 160+,84,0.804429,0.547155,0.667531,84,0.654014,0.378734,0.519516
U_N375,99,ds:asap,56,0.677508,0.358015,0.509910,56,0.508510,0.151292,0.328208
U_N375,99,ds:ballroom,86,0.910018,0.831603,0.856719,86,0.801879,0.654550,0.741420
U_N375,99,ds:beatles,23,0.914329,0.849794,0.881616,23,0.872735,0.741313,0.833969
U_N375,99,ds:candombe,5,0.846322,0.679711,0.679711,5,0.985103,0.927179,0.927179
U_N375,99,ds:filosax,6,0.978369,0.926985,0.926985,6,0.566677,0.272980,0.551106
U_N375,99,ds:groove_midi,42,0.803256,0.687335,0.699653,42,0.708444,0.604982,0.658713
U_N375,99,ds:guitarset,23,0.726492,0.482814,0.574758,23,0.587250,0.446615,0.453125
U_N375,99,ds:hainsworth,28,0.874487,0.763864,0.827969,28,0.600332,0.455031,0.579662
U_N375,99,ds:harmonix,114,0.947687,0.884775,0.944492,114,0.857401,0.716109,0.812086
U_N375,99,ds:hjdb,29,0.904758,0.814987,0.831945,29,0.906964,0.825923,0.884237
U_N375,99,ds:jaah,15,0.867816,0.728879,0.734223,15,0.450030,0.097787,0.385991
U_N375,99,ds:rwc,29,0.759410,0.606759,0.722267,29,0.672740,0.547716,0.590370
U_N375,99,ds:simac,75,0.704419,0.588994,0.687476,0,nan,nan,nan
U_N375,99,ds:smc,27,0.586061,0.435360,0.518391,0,nan,nan,nan
U_N375,99,ds:tapcorrect,13,0.883476,0.757772,0.882849,13,0.775287,0.589809,0.715805
