arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
W_norm1,19,ALL,571,0.882176,0.810124,0.869357,469,0.879712,0.815583,0.888145
W_norm1,19,SMC,27,0.646070,0.621923,0.698741,0,nan,nan,nan
W_norm1,19,<70 bpm,63,0.732950,0.657238,0.770862,36,0.677128,0.403240,0.745061
W_norm1,19,SMC <70,15,0.582282,0.581317,0.672115,0,nan,nan,nan
W_norm1,19,>=70 bpm,508,0.900682,0.829084,0.881572,433,0.896556,0.849866,0.900041
W_norm1,19,bpm 0-70,63,0.732950,0.657238,0.770862,36,0.677128,0.403240,0.745061
W_norm1,19,bpm 70-100,138,0.872317,0.839987,0.881809,97,0.881450,0.827166,0.890313
W_norm1,19,bpm 100-130,198,0.916589,0.884232,0.915844,170,0.918572,0.902108,0.920413
W_norm1,19,bpm 130-160,88,0.920822,0.843883,0.921755,82,0.889995,0.825272,0.912372
W_norm1,19,bpm 160+,84,0.888689,0.665678,0.758303,84,0.875847,0.794358,0.858007
W_norm1,19,ds:asap,56,0.796694,0.601360,0.748723,56,0.754271,0.510456,0.727517
W_norm1,19,ds:ballroom,86,0.951223,0.891327,0.896452,86,0.949956,0.950872,0.958624
W_norm1,19,ds:beatles,23,0.928859,0.850783,0.911701,23,0.866526,0.787288,0.840429
W_norm1,19,ds:candombe,5,0.974899,0.942303,0.942303,5,0.971310,0.929231,0.929231
W_norm1,19,ds:filosax,6,0.984424,0.853133,0.853133,6,0.996296,0.992754,0.992754
W_norm1,19,ds:groove_midi,42,0.882314,0.830884,0.854735,42,0.872347,0.841451,0.881928
W_norm1,19,ds:guitarset,23,0.883303,0.859467,0.884898,23,0.860386,0.926947,0.926947
W_norm1,19,ds:hainsworth,28,0.916040,0.840456,0.909371,28,0.668903,0.544157,0.734128
W_norm1,19,ds:harmonix,114,0.949175,0.884384,0.950397,114,0.929569,0.854563,0.942115
W_norm1,19,ds:hjdb,29,0.963448,0.930157,0.930157,29,0.975161,0.973887,0.973887
W_norm1,19,ds:jaah,15,0.900837,0.679187,0.680469,15,0.833156,0.798829,0.824692
W_norm1,19,ds:rwc,29,0.851775,0.781233,0.850422,29,0.840087,0.828672,0.865963
W_norm1,19,ds:simac,75,0.780027,0.758076,0.846585,0,nan,nan,nan
W_norm1,19,ds:smc,27,0.646070,0.621923,0.698741,0,nan,nan,nan
W_norm1,19,ds:tapcorrect,13,0.909954,0.797622,0.947490,13,0.893714,0.758735,0.875481
W_norm2,19,ALL,571,0.884540,0.815905,0.874985,469,0.880540,0.819034,0.893168
W_norm2,19,SMC,27,0.664117,0.666681,0.737946,0,nan,nan,nan
W_norm2,19,<70 bpm,63,0.742785,0.674670,0.788078,36,0.680108,0.404956,0.748368
W_norm2,19,SMC <70,15,0.611078,0.652138,0.735970,0,nan,nan,nan
W_norm2,19,>=70 bpm,508,0.902120,0.833421,0.885763,433,0.897204,0.853461,0.905206
W_norm2,19,bpm 0-70,63,0.742785,0.674670,0.788078,36,0.680108,0.404956,0.748368
W_norm2,19,bpm 70-100,138,0.871539,0.847733,0.887095,97,0.882833,0.838243,0.902576
W_norm2,19,bpm 100-130,198,0.919030,0.887826,0.920423,170,0.917620,0.899094,0.921220
W_norm2,19,bpm 130-160,88,0.921186,0.844836,0.922384,82,0.888703,0.830055,0.917513
W_norm2,19,bpm 160+,84,0.892527,0.669707,0.763510,84,0.880781,0.801527,0.863822
W_norm2,19,ds:asap,56,0.799186,0.597174,0.745722,56,0.756723,0.523384,0.745381
W_norm2,19,ds:ballroom,86,0.953216,0.898974,0.903164,86,0.952033,0.951904,0.963532
W_norm2,19,ds:beatles,23,0.934481,0.866063,0.908366,23,0.867531,0.784883,0.838023
W_norm2,19,ds:candombe,5,0.971268,0.953117,0.953117,5,0.963921,0.942564,0.942564
W_norm2,19,ds:filosax,6,0.982962,0.853511,0.853511,6,1.000000,1.000000,1.000000
W_norm2,19,ds:groove_midi,42,0.879768,0.835346,0.858828,42,0.867729,0.846464,0.892206
W_norm2,19,ds:guitarset,23,0.888770,0.878699,0.908264,23,0.861149,0.935953,0.935953
W_norm2,19,ds:hainsworth,28,0.918505,0.847612,0.917850,28,0.674214,0.555234,0.742165
W_norm2,19,ds:harmonix,114,0.949443,0.888491,0.955376,114,0.928586,0.855321,0.943387
W_norm2,19,ds:hjdb,29,0.964373,0.930093,0.930678,29,0.973053,0.968717,0.968717
W_norm2,19,ds:jaah,15,0.903747,0.687684,0.687684,15,0.825957,0.796955,0.818348
W_norm2,19,ds:rwc,29,0.860749,0.785443,0.856563,29,0.854656,0.830574,0.867865
W_norm2,19,ds:simac,75,0.778332,0.753018,0.845769,0,nan,nan,nan
W_norm2,19,ds:smc,27,0.664117,0.666681,0.737946,0,nan,nan,nan
W_norm2,19,ds:tapcorrect,13,0.919769,0.804924,0.948381,13,0.889874,0.763314,0.880060
