arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
Y_g10,19,ALL,571,0.911011,0.854598,0.914999,469,0.900590,0.835510,0.897944
Y_g10,19,SMC,27,0.676094,0.674692,0.747360,0,nan,nan,nan
Y_g10,19,<70 bpm,63,0.765248,0.677072,0.788313,36,0.699350,0.447161,0.732505
Y_g10,19,SMC <70,15,0.622188,0.631145,0.711201,0,nan,nan,nan
Y_g10,19,>=70 bpm,508,0.929087,0.876614,0.930710,433,0.917321,0.867797,0.911699
Y_g10,19,bpm 0-70,63,0.765248,0.677072,0.788313,36,0.699350,0.447161,0.732505
Y_g10,19,bpm 70-100,138,0.896220,0.859863,0.900118,97,0.898499,0.849573,0.890997
Y_g10,19,bpm 100-130,198,0.947780,0.917169,0.951439,170,0.937150,0.915306,0.928748
Y_g10,19,bpm 130-160,88,0.936543,0.869936,0.949706,82,0.908763,0.850417,0.929562
Y_g10,19,bpm 160+,84,0.931213,0.815535,0.912209,84,0.907280,0.809660,0.883663
Y_g10,19,ds:asap,56,0.822725,0.641647,0.794796,56,0.766373,0.541619,0.755457
Y_g10,19,ds:ballroom,86,0.972284,0.956934,0.963319,86,0.971709,0.961320,0.965927
Y_g10,19,ds:beatles,23,0.952131,0.878501,0.921979,23,0.884242,0.799840,0.852980
Y_g10,19,ds:candombe,5,1.000000,1.000000,1.000000,5,1.000000,1.000000,1.000000
Y_g10,19,ds:filosax,6,0.997778,0.991505,0.991505,6,1.000000,1.000000,1.000000
Y_g10,19,ds:groove_midi,42,0.923377,0.864769,0.890670,42,0.921836,0.872951,0.916829
Y_g10,19,ds:guitarset,23,0.944119,0.929706,0.962537,23,0.935264,0.953002,0.953002
Y_g10,19,ds:hainsworth,28,0.938551,0.885474,0.953208,28,0.676200,0.605997,0.716734
Y_g10,19,ds:harmonix,114,0.966432,0.912546,0.978845,114,0.941730,0.871809,0.939255
Y_g10,19,ds:hjdb,29,0.978941,0.960570,0.970181,29,0.990439,0.995192,0.995192
Y_g10,19,ds:jaah,15,0.952360,0.875738,0.875738,15,0.849366,0.794242,0.854242
Y_g10,19,ds:rwc,29,0.885330,0.821488,0.887388,29,0.851552,0.813370,0.851376
Y_g10,19,ds:simac,75,0.824858,0.776617,0.869497,0,nan,nan,nan
Y_g10,19,ds:smc,27,0.676094,0.674692,0.747360,0,nan,nan,nan
Y_g10,19,ds:tapcorrect,13,0.938071,0.829732,0.979599,13,0.913687,0.781118,0.862186
