arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
vanillaS1_f0,99,ALL,571,0.910199,0.839549,0.902924,469,0.892071,0.787728,0.887218
vanillaS1_f0,99,SMC,27,0.642262,0.525046,0.673972,0,nan,nan,nan
vanillaS1_f0,99,<70 bpm,63,0.719360,0.551561,0.686643,36,0.656983,0.327612,0.645997
vanillaS1_f0,99,SMC <70,15,0.552560,0.402042,0.601016,0,nan,nan,nan
vanillaS1_f0,99,>=70 bpm,508,0.933866,0.875264,0.929746,433,0.911617,0.825983,0.907274
vanillaS1_f0,99,bpm 0-70,63,0.719360,0.551561,0.686643,36,0.656983,0.327612,0.645997
vanillaS1_f0,99,bpm 70-100,138,0.902988,0.846377,0.901715,97,0.887157,0.783423,0.882768
vanillaS1_f0,99,bpm 100-130,198,0.954282,0.930265,0.949585,170,0.943050,0.912688,0.938338
vanillaS1_f0,99,bpm 130-160,88,0.942346,0.877270,0.956815,82,0.903229,0.792606,0.914670
vanillaS1_f0,99,bpm 160+,84,0.927587,0.790976,0.900677,84,0.884434,0.732235,0.865483
vanillaS1_f0,99,ds:asap,56,0.801246,0.568073,0.711289,56,0.689142,0.310578,0.648883
vanillaS1_f0,99,ds:ballroom,86,0.979705,0.976355,0.976355,86,0.956335,0.944539,0.961265
vanillaS1_f0,99,ds:beatles,23,0.967197,0.917073,0.960551,23,0.909376,0.776641,0.837243
vanillaS1_f0,99,ds:candombe,5,1.000000,1.000000,1.000000,5,1.000000,1.000000,1.000000
vanillaS1_f0,99,ds:filosax,6,1.000000,1.000000,1.000000,6,0.988889,0.968750,0.968750
vanillaS1_f0,99,ds:groove_midi,42,0.939749,0.904201,0.904567,42,0.917072,0.858439,0.930863
vanillaS1_f0,99,ds:guitarset,23,0.947494,0.920943,0.948223,23,0.942354,0.953727,0.953727
vanillaS1_f0,99,ds:hainsworth,28,0.927869,0.867325,0.936823,28,0.738758,0.576716,0.766169
vanillaS1_f0,99,ds:harmonix,114,0.965843,0.899763,0.980019,114,0.943217,0.849074,0.945833
vanillaS1_f0,99,ds:hjdb,29,0.994321,0.992566,0.992566,29,0.977431,0.953148,0.962180
vanillaS1_f0,99,ds:jaah,15,0.942472,0.870143,0.936809,15,0.793573,0.742543,0.806632
vanillaS1_f0,99,ds:rwc,29,0.857458,0.741035,0.806149,29,0.858478,0.759714,0.850041
vanillaS1_f0,99,ds:simac,75,0.835189,0.765268,0.852666,0,nan,nan,nan
vanillaS1_f0,99,ds:smc,27,0.642262,0.525046,0.673972,0,nan,nan,nan
vanillaS1_f0,99,ds:tapcorrect,13,0.937421,0.815153,0.966300,13,0.934423,0.800206,0.928186
