arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
L1_base,99,ALL,571,0.872907,0.783765,0.857824,469,0.830630,0.716757,0.790852
L1_base,99,SMC,27,0.602518,0.473551,0.640941,0,nan,nan,nan
L1_base,99,<70 bpm,63,0.741392,0.579898,0.709828,36,0.597036,0.362640,0.504789
L1_base,99,SMC <70,15,0.538703,0.396529,0.600860,0,nan,nan,nan
L1_base,99,>=70 bpm,508,0.889217,0.809047,0.876178,433,0.850051,0.746198,0.814636
L1_base,99,bpm 0-70,63,0.741392,0.579898,0.709828,36,0.597036,0.362640,0.504789
L1_base,99,bpm 70-100,138,0.868131,0.820878,0.865822,97,0.849807,0.777794,0.821779
L1_base,99,bpm 100-130,198,0.915340,0.863475,0.893970,170,0.904024,0.854633,0.874564
L1_base,99,bpm 130-160,88,0.883512,0.800116,0.907769,82,0.802995,0.676148,0.801841
L1_base,99,bpm 160+,84,0.868257,0.670673,0.818158,84,0.787040,0.558643,0.697594
L1_base,99,ds:asap,56,0.774580,0.532704,0.687290,56,0.598338,0.236074,0.436768
L1_base,99,ds:ballroom,86,0.949159,0.902169,0.935954,86,0.906296,0.835106,0.880604
L1_base,99,ds:beatles,23,0.944987,0.871038,0.920938,23,0.899470,0.786566,0.833516
L1_base,99,ds:candombe,5,0.998165,0.996364,0.996364,5,1.000000,1.000000,1.000000
L1_base,99,ds:filosax,6,0.995193,0.965033,0.965033,6,0.924067,0.859599,0.859599
L1_base,99,ds:groove_midi,42,0.884929,0.817323,0.832091,42,0.782161,0.712415,0.794019
L1_base,99,ds:guitarset,23,0.856694,0.743918,0.762238,23,0.841576,0.799486,0.799486
L1_base,99,ds:hainsworth,28,0.855060,0.733816,0.837535,28,0.688184,0.549379,0.660045
L1_base,99,ds:harmonix,114,0.963196,0.911485,0.978241,114,0.912815,0.832354,0.903155
L1_base,99,ds:hjdb,29,0.938059,0.919300,0.946489,29,0.878904,0.880820,0.923329
L1_base,99,ds:jaah,15,0.946581,0.860877,0.860877,15,0.723790,0.508392,0.528512
L1_base,99,ds:rwc,29,0.824464,0.680611,0.802104,29,0.817275,0.751235,0.777611
L1_base,99,ds:simac,75,0.757619,0.684213,0.783445,0,nan,nan,nan
L1_base,99,ds:smc,27,0.602518,0.473551,0.640941,0,nan,nan,nan
L1_base,99,ds:tapcorrect,13,0.900818,0.769180,0.903685,13,0.869370,0.718076,0.842880
