arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
L1_base,4,ALL,571,0.667082,0.526033,0.579797,469,0.584021,0.391706,0.494385
L1_base,4,SMC,27,0.500160,0.372674,0.418618,0,nan,nan,nan
L1_base,4,<70 bpm,63,0.525785,0.324377,0.447080,36,0.462242,0.145002,0.363935
L1_base,4,SMC <70,15,0.398331,0.259206,0.322547,0,nan,nan,nan
L1_base,4,>=70 bpm,508,0.684605,0.551042,0.596256,433,0.594146,0.412218,0.505230
L2_attn,4,ALL,571,0.649898,0.450968,0.511686,469,0.537245,0.293696,0.430055
L2_attn,4,SMC,27,0.429702,0.250380,0.358341,0,nan,nan,nan
L2_attn,4,<70 bpm,63,0.495857,0.239450,0.398224,36,0.404692,0.140734,0.320070
L2_attn,4,SMC <70,15,0.347763,0.172822,0.334760,0,nan,nan,nan
L2_attn,4,>=70 bpm,508,0.669002,0.477200,0.525757,433,0.548265,0.306414,0.439199
L3_seed1,4,ALL,571,0.683000,0.501051,0.565601,469,0.590450,0.401714,0.500899
L3_seed1,4,SMC,27,0.477925,0.276583,0.339637,0,nan,nan,nan
L3_seed1,4,<70 bpm,63,0.541919,0.346761,0.428898,36,0.429542,0.125964,0.362641
L3_seed1,4,SMC <70,15,0.402459,0.191981,0.287845,0,nan,nan,nan
L3_seed1,4,>=70 bpm,508,0.700496,0.520185,0.582555,433,0.603828,0.424640,0.512394
L1_base,9,ALL,571,0.725049,0.568764,0.639966,469,0.628942,0.464835,0.543550
L1_base,9,SMC,27,0.524565,0.410384,0.484005,0,nan,nan,nan
L1_base,9,<70 bpm,63,0.547618,0.293998,0.500397,36,0.443708,0.156586,0.359765
L1_base,9,SMC <70,15,0.437578,0.287677,0.379984,0,nan,nan,nan
L1_base,9,>=70 bpm,508,0.747053,0.602839,0.657275,433,0.644343,0.490464,0.558830
L2_attn,9,ALL,571,0.672090,0.519177,0.585524,469,0.593455,0.431391,0.523504
L2_attn,9,SMC,27,0.504200,0.374914,0.433413,0,nan,nan,nan
L2_attn,9,<70 bpm,63,0.492587,0.245911,0.453810,36,0.450965,0.153530,0.319202
L2_attn,9,SMC <70,15,0.418365,0.276817,0.356052,0,nan,nan,nan
L2_attn,9,>=70 bpm,508,0.694352,0.553067,0.601859,433,0.605302,0.454493,0.540490
L3_seed1,9,ALL,571,0.727588,0.579832,0.644613,469,0.653195,0.493980,0.578448
L3_seed1,9,SMC,27,0.540297,0.412233,0.452398,0,nan,nan,nan
L3_seed1,9,<70 bpm,63,0.588308,0.389975,0.536471,36,0.469808,0.156435,0.339747
L3_seed1,9,SMC <70,15,0.454003,0.330786,0.397200,0,nan,nan,nan
L3_seed1,9,>=70 bpm,508,0.744861,0.603377,0.658024,433,0.668442,0.522044,0.598293
