arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
L1_base,24,ALL,571,0.649757,0.460752,0.543433,469,0.455512,0.237507,0.378182
L1_base,24,SMC,27,0.371172,0.231327,0.284110,0,nan,nan,nan
L1_base,24,<70 bpm,63,0.437644,0.174272,0.419927,36,0.290946,0.053537,0.194676
L1_base,24,SMC <70,15,0.260221,0.137897,0.202859,0,nan,nan,nan
L1_base,24,>=70 bpm,508,0.676062,0.496280,0.558750,433,0.469194,0.252803,0.393439
L2_attn,24,ALL,571,0.701202,0.545747,0.619891,469,0.616634,0.452258,0.531766
L2_attn,24,SMC,27,0.461339,0.307776,0.385691,0,nan,nan,nan
L2_attn,24,<70 bpm,63,0.511863,0.301756,0.445448,36,0.477089,0.187832,0.349723
L2_attn,24,SMC <70,15,0.372186,0.231223,0.332585,0,nan,nan,nan
L2_attn,24,>=70 bpm,508,0.724683,0.576006,0.641525,433,0.628236,0.474243,0.546901
L3_seed1,24,ALL,571,0.855043,0.750706,0.827275,469,0.817154,0.717071,0.792562
L3_seed1,24,SMC,27,0.594632,0.465158,0.535338,0,nan,nan,nan
L3_seed1,24,<70 bpm,63,0.685098,0.485112,0.640842,36,0.597165,0.320426,0.568070
L3_seed1,24,SMC <70,15,0.529415,0.348670,0.425819,0,nan,nan,nan
L3_seed1,24,>=70 bpm,508,0.876118,0.783643,0.850396,433,0.835444,0.750049,0.811226
L1_base,29,ALL,571,0.728299,0.601476,0.688747,469,0.613440,0.421668,0.531251
L1_base,29,SMC,27,0.499748,0.340136,0.358464,0,nan,nan,nan
L1_base,29,<70 bpm,63,0.513451,0.259906,0.469566,36,0.413041,0.189108,0.312296
L1_base,29,SMC <70,15,0.423008,0.226720,0.250527,0,nan,nan,nan
L1_base,29,>=70 bpm,508,0.754943,0.643837,0.715929,433,0.630101,0.441003,0.549455
L2_attn,29,ALL,571,0.270607,0.077502,0.134668,469,0.016705,0.002727,0.014481
L2_attn,29,SMC,27,0.179417,0.032450,0.091418,0,nan,nan,nan
L2_attn,29,<70 bpm,63,0.138011,0.016849,0.069501,36,0.033529,0.000000,0.043287
L2_attn,29,SMC <70,15,0.117443,0.017616,0.054890,0,nan,nan,nan
L2_attn,29,>=70 bpm,508,0.287051,0.085024,0.142749,433,0.015306,0.002954,0.012086
L3_seed1,29,ALL,571,0.848981,0.761033,0.828125,469,0.816837,0.717662,0.793166
L3_seed1,29,SMC,27,0.598739,0.497524,0.553529,0,nan,nan,nan
L3_seed1,29,<70 bpm,63,0.712842,0.578014,0.701669,36,0.626985,0.350616,0.598601
L3_seed1,29,SMC <70,15,0.516331,0.459591,0.524249,0,nan,nan,nan
L3_seed1,29,>=70 bpm,508,0.865865,0.783730,0.843808,433,0.832622,0.748179,0.809342
L1_base,34,ALL,571,0.759675,0.647635,0.729275,469,0.684146,0.525020,0.600465
L1_base,34,SMC,27,0.546864,0.460496,0.500871,0,nan,nan,nan
L1_base,34,<70 bpm,63,0.573280,0.384905,0.534291,36,0.465578,0.198130,0.324506
L1_base,34,SMC <70,15,0.449408,0.357616,0.389612,0,nan,nan,nan
L1_base,34,>=70 bpm,508,0.782791,0.680218,0.753457,433,0.702318,0.552198,0.623408
L2_attn,34,ALL,571,0.117937,0.024538,0.046086,469,0.000000,0.000000,0.000000
L2_attn,34,SMC,27,0.049423,0.006064,0.017181,0,nan,nan,nan
L2_attn,34,<70 bpm,63,0.040431,0.005252,0.018388,36,0.000000,0.000000,0.000000
L2_attn,34,SMC <70,15,0.021651,0.001418,0.011562,0,nan,nan,nan
L2_attn,34,>=70 bpm,508,0.127549,0.026930,0.049521,433,0.000000,0.000000,0.000000
L3_seed1,34,ALL,571,0.862587,0.781520,0.850589,469,0.837463,0.741578,0.821602
L3_seed1,34,SMC,27,0.643904,0.589241,0.679420,0,nan,nan,nan
L3_seed1,34,<70 bpm,63,0.730370,0.592792,0.755474,36,0.618724,0.334707,0.573063
L3_seed1,34,SMC <70,15,0.593892,0.549801,0.620579,0,nan,nan,nan
L3_seed1,34,>=70 bpm,508,0.878984,0.804925,0.862384,433,0.855649,0.775406,0.842266
