arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
E_ctl_s1,19,ALL,571,0.882484,0.815547,0.874770,469,0.880700,0.822529,0.895008
E_ctl_s1,19,SMC,27,0.649466,0.658409,0.726328,0,nan,nan,nan
E_ctl_s1,19,<70 bpm,63,0.742378,0.682951,0.789525,36,0.680982,0.414364,0.750475
E_ctl_s1,19,SMC <70,15,0.592296,0.647789,0.724634,0,nan,nan,nan
E_ctl_s1,19,>=70 bpm,508,0.899860,0.831991,0.885341,433,0.897305,0.856465,0.907025
E_ctl_s1,19,bpm 0-70,63,0.742378,0.682951,0.789525,36,0.680982,0.414364,0.750475
E_ctl_s1,19,bpm 70-100,138,0.865141,0.843679,0.881976,97,0.882242,0.835212,0.897518
E_ctl_s1,19,bpm 100-130,198,0.918688,0.888696,0.924002,170,0.919020,0.907644,0.926719
E_ctl_s1,19,bpm 130-160,88,0.921685,0.846805,0.924819,82,0.890218,0.836811,0.923569
E_ctl_s1,19,bpm 160+,84,0.889652,0.663607,0.758383,84,0.877672,0.796614,0.861997
E_ctl_s1,19,ds:asap,56,0.798033,0.601960,0.747590,56,0.762735,0.527143,0.740750
E_ctl_s1,19,ds:ballroom,86,0.953523,0.895430,0.900522,86,0.950939,0.949902,0.959786
E_ctl_s1,19,ds:beatles,23,0.927468,0.870063,0.911126,23,0.868474,0.808379,0.868208
E_ctl_s1,19,ds:candombe,5,0.969728,0.946320,0.946320,5,0.964974,0.960714,0.960714
E_ctl_s1,19,ds:filosax,6,0.982442,0.831391,0.831391,6,1.000000,1.000000,1.000000
E_ctl_s1,19,ds:groove_midi,42,0.882253,0.833449,0.862753,42,0.876397,0.854294,0.894770
E_ctl_s1,19,ds:guitarset,23,0.875333,0.852691,0.884394,23,0.832049,0.939842,0.939842
E_ctl_s1,19,ds:hainsworth,28,0.924071,0.856952,0.927190,28,0.677741,0.553337,0.735866
E_ctl_s1,19,ds:harmonix,114,0.950326,0.890116,0.956835,114,0.934073,0.858337,0.946366
E_ctl_s1,19,ds:hjdb,29,0.961775,0.928142,0.928142,29,0.970533,0.978685,0.978685
E_ctl_s1,19,ds:jaah,15,0.897521,0.684423,0.686357,15,0.828066,0.788330,0.810527
E_ctl_s1,19,ds:rwc,29,0.857471,0.789530,0.863057,29,0.838045,0.836121,0.874320
E_ctl_s1,19,ds:simac,75,0.774400,0.759954,0.850653,0,nan,nan,nan
E_ctl_s1,19,ds:smc,27,0.649466,0.658409,0.726328,0,nan,nan,nan
E_ctl_s1,19,ds:tapcorrect,13,0.915042,0.791708,0.941576,13,0.882937,0.758735,0.875481
W_norm1_s1,19,ALL,571,0.884391,0.814307,0.873852,469,0.882447,0.819946,0.894533
W_norm1_s1,19,SMC,27,0.652399,0.626021,0.699462,0,nan,nan,nan
W_norm1_s1,19,<70 bpm,63,0.737806,0.666028,0.774375,36,0.682564,0.406541,0.746721
W_norm1_s1,19,SMC <70,15,0.592133,0.606699,0.690135,0,nan,nan,nan
W_norm1_s1,19,>=70 bpm,508,0.902570,0.832696,0.886189,433,0.899065,0.854317,0.906823
W_norm1_s1,19,bpm 0-70,63,0.737806,0.666028,0.774375,36,0.682564,0.406541,0.746721
W_norm1_s1,19,bpm 70-100,138,0.869541,0.840031,0.879946,97,0.881791,0.827752,0.899213
W_norm1_s1,19,bpm 100-130,198,0.920372,0.887890,0.921655,170,0.921259,0.908422,0.927630
W_norm1_s1,19,bpm 130-160,88,0.919707,0.847934,0.926024,82,0.886903,0.830492,0.918100
W_norm1_s1,19,bpm 160+,84,0.896917,0.674583,0.771117,84,0.885969,0.798751,0.862491
W_norm1_s1,19,ds:asap,56,0.797428,0.601697,0.749803,56,0.764301,0.525020,0.746464
W_norm1_s1,19,ds:ballroom,86,0.956091,0.901397,0.906479,86,0.957367,0.953224,0.963444
W_norm1_s1,19,ds:beatles,23,0.933768,0.864844,0.908322,23,0.876111,0.805216,0.866253
W_norm1_s1,19,ds:candombe,5,0.980231,0.952954,0.952954,5,0.964974,0.960714,0.960714
W_norm1_s1,19,ds:filosax,6,0.983626,0.846328,0.846328,6,1.000000,1.000000,1.000000
W_norm1_s1,19,ds:groove_midi,42,0.886190,0.833666,0.858208,42,0.877932,0.851941,0.892417
W_norm1_s1,19,ds:guitarset,23,0.883387,0.862357,0.889428,23,0.851795,0.927576,0.927576
W_norm1_s1,19,ds:hainsworth,28,0.922083,0.850867,0.919782,28,0.664051,0.539977,0.722206
W_norm1_s1,19,ds:harmonix,114,0.950832,0.891131,0.957850,114,0.930203,0.852988,0.945832
W_norm1_s1,19,ds:hjdb,29,0.960647,0.932022,0.932022,29,0.972640,0.975135,0.975135
W_norm1_s1,19,ds:jaah,15,0.905508,0.698446,0.699458,15,0.827812,0.800852,0.831255
W_norm1_s1,19,ds:rwc,29,0.860522,0.785747,0.857775,29,0.845884,0.833142,0.870558
W_norm1_s1,19,ds:simac,75,0.776209,0.749015,0.842952,0,nan,nan,nan
W_norm1_s1,19,ds:smc,27,0.652399,0.626021,0.699462,0,nan,nan,nan
W_norm1_s1,19,ds:tapcorrect,13,0.911541,0.799074,0.948941,13,0.884798,0.763391,0.868792
