ckpt,tau_beat,tau_downbeat,n,F,CMLt,n_db,dbF,dbCMLt
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.4,0.4,571,0.882983,0.813677,469,0.882216,0.823278
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.4,0.6,571,0.876833,0.797959,469,0.881365,0.825758
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.4,0.8,571,0.860613,0.758954,469,0.864905,0.809616
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.4,0.95,571,0.837724,0.707622,469,0.825758,0.771907
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.4,0.99,571,0.822369,0.673729,469,0.778007,0.710331
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.4,0.999,571,0.799403,0.614517,469,0.654319,0.557790
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.4,0.9999,571,0.721388,0.364146,469,0.000754,0.000000
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.4,0.99999,571,0.721334,0.363980,469,0.000000,0.000000
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.6,0.4,571,0.877762,0.802232,469,0.882216,0.823278
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.6,0.6,571,0.870670,0.785516,469,0.881365,0.825758
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.6,0.8,571,0.852723,0.747058,469,0.864905,0.809616
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.6,0.95,571,0.828357,0.695856,469,0.825758,0.771907
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.6,0.99,571,0.812497,0.661135,469,0.778007,0.710331
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.6,0.999,571,0.789213,0.601626,469,0.654319,0.557790
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.6,0.9999,571,0.711052,0.351107,469,0.000754,0.000000
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.6,0.99999,571,0.710999,0.350941,469,0.000000,0.000000
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.8,0.4,571,0.860743,0.764811,469,0.882216,0.823278
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.8,0.6,571,0.851890,0.752450,469,0.881365,0.825758
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.8,0.8,571,0.830130,0.720186,469,0.864905,0.809616
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.8,0.95,571,0.802009,0.674616,469,0.825758,0.771907
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.8,0.99,571,0.784651,0.639116,469,0.778007,0.710331
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.8,0.999,571,0.760246,0.578497,469,0.654319,0.557790
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.8,0.9999,571,0.681623,0.328202,469,0.000754,0.000000
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.8,0.99999,571,0.681570,0.328036,469,0.000000,0.000000
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.95,0.4,571,0.836872,0.707503,469,0.882216,0.823278
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.95,0.6,571,0.826443,0.697110,469,0.881365,0.825758
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.95,0.8,571,0.800188,0.675132,469,0.864905,0.809616
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.95,0.95,571,0.766308,0.641767,469,0.825758,0.771907
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.95,0.99,571,0.745651,0.610177,469,0.778007,0.710331
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.95,0.999,571,0.718883,0.553002,469,0.654319,0.557790
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.95,0.9999,571,0.639300,0.304666,469,0.000754,0.000000
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.95,0.99999,571,0.639246,0.304500,469,0.000000,0.000000
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.99,0.4,571,0.808501,0.642578,469,0.882216,0.823278
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.99,0.6,571,0.797179,0.634537,469,0.881365,0.825758
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.99,0.8,571,0.767684,0.620449,469,0.864905,0.809616
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.99,0.95,571,0.727885,0.597863,469,0.825758,0.771907
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.99,0.99,571,0.702986,0.573931,469,0.778007,0.710331
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.99,0.999,571,0.671909,0.524174,469,0.654319,0.557790
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.99,0.9999,571,0.590872,0.279351,469,0.000754,0.000000
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.99,0.99999,571,0.590818,0.279185,469,0.000000,0.000000
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.999,0.4,571,0.745620,0.518247,469,0.882216,0.823278
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.999,0.6,571,0.733370,0.512176,469,0.881365,0.825758
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.999,0.8,571,0.700822,0.504701,469,0.864905,0.809616
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.999,0.95,571,0.654856,0.494798,469,0.825758,0.771907
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.999,0.99,571,0.624001,0.483261,469,0.778007,0.710331
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.999,0.999,571,0.582723,0.452140,469,0.654319,0.557790
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.999,0.9999,571,0.494686,0.223624,469,0.000754,0.000000
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.999,0.99999,571,0.494630,0.223496,469,0.000000,0.000000
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.9999,0.4,571,0.441796,0.047267,469,0.882216,0.823278
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.9999,0.6,571,0.428935,0.042177,469,0.881365,0.825758
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.9999,0.8,571,0.394135,0.037874,469,0.864905,0.809616
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.9999,0.95,571,0.344777,0.033762,469,0.825758,0.771907
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.9999,0.99,571,0.309428,0.030984,469,0.778007,0.710331
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.9999,0.999,571,0.252179,0.030722,469,0.654319,0.557790
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.9999,0.9999,571,0.054316,0.006702,469,0.000754,0.000000
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.9999,0.99999,571,0.054220,0.006612,469,0.000000,0.000000
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.99999,0.4,571,0.406245,0.015827,469,0.882216,0.823278
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.99999,0.6,571,0.393373,0.010737,469,0.881365,0.825758
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.99999,0.8,571,0.358479,0.006555,469,0.864905,0.809616
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.99999,0.95,571,0.308921,0.002566,469,0.825758,0.771907
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.99999,0.99,571,0.273304,0.000000,469,0.778007,0.710331
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.99999,0.999,571,0.215533,0.000000,469,0.654319,0.557790
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.99999,0.9999,571,0.000162,0.000000,469,0.000754,0.000000
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.99999,0.99999,571,0.000000,0.000000,469,0.000000,0.000000
