arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
vanilla_f0,-1,ALL,571,0.915037,0.850442,0.917275,469,0.905589,0.814579,0.893933
vanilla_f0,-1,SMC,27,0.674372,0.629404,0.747747,0,nan,nan,nan
vanilla_f0,-1,<70 bpm,63,0.765231,0.631499,0.778822,36,0.720514,0.380980,0.716624
vanilla_f0,-1,SMC <70,15,0.609033,0.553541,0.718940,0,nan,nan,nan
vanilla_f0,-1,>=70 bpm,508,0.933616,0.877594,0.934445,433,0.920976,0.850629,0.908674
vanilla_f0,-1,bpm 0-70,63,0.765231,0.631499,0.778822,36,0.720514,0.380980,0.716624
vanilla_f0,-1,bpm 70-100,138,0.900770,0.851500,0.902554,97,0.903881,0.816670,0.902880
vanilla_f0,-1,bpm 100-130,198,0.952063,0.923803,0.957690,170,0.940049,0.907816,0.928386
vanilla_f0,-1,bpm 130-160,88,0.941611,0.875416,0.954182,82,0.905628,0.830836,0.922899
vanilla_f0,-1,bpm 160+,84,0.935717,0.813824,0.911367,84,0.917098,0.793430,0.861586
vanilla_f0,-1,ds:asap,56,0.828526,0.634134,0.781563,56,0.781127,0.510143,0.715784
vanilla_f0,-1,ds:ballroom,86,0.975989,0.958904,0.966314,86,0.972327,0.960525,0.965133
vanilla_f0,-1,ds:beatles,23,0.946283,0.864848,0.938924,23,0.888360,0.771302,0.834817
vanilla_f0,-1,ds:candombe,5,1.000000,1.000000,1.000000,5,1.000000,1.000000,1.000000
vanilla_f0,-1,ds:filosax,6,1.000000,1.000000,1.000000,6,1.000000,1.000000,1.000000
vanilla_f0,-1,ds:groove_midi,42,0.922534,0.859149,0.890456,42,0.916063,0.864911,0.899152
vanilla_f0,-1,ds:guitarset,23,0.944533,0.923539,0.958144,23,0.923270,0.934044,0.934044
vanilla_f0,-1,ds:hainsworth,28,0.928461,0.853011,0.958194,28,0.686394,0.489532,0.734225
vanilla_f0,-1,ds:harmonix,114,0.966682,0.909492,0.979989,114,0.943840,0.856581,0.955179
vanilla_f0,-1,ds:hjdb,29,0.980392,0.960719,0.972395,29,0.984979,0.980426,0.980426
vanilla_f0,-1,ds:jaah,15,0.964024,0.920927,0.920927,15,0.867117,0.754465,0.817958
vanilla_f0,-1,ds:rwc,29,0.912890,0.819901,0.889304,29,0.900762,0.827097,0.861580
vanilla_f0,-1,ds:simac,75,0.838527,0.781125,0.873931,0,nan,nan,nan
vanilla_f0,-1,ds:smc,27,0.674372,0.629404,0.747747,0,nan,nan,nan
vanilla_f0,-1,ds:tapcorrect,13,0.942824,0.831629,0.982776,13,0.900447,0.709463,0.891124
