arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
M1_ctrl_s0,19,ALL,571,0.861290,0.801480,0.877338,469,0.853662,0.799892,0.900669
M1_ctrl_s0,19,SMC,27,0.611610,0.551836,0.696200,0,nan,nan,nan
M1_ctrl_s0,19,<70 bpm,63,0.696041,0.573974,0.749314,36,0.599552,0.362691,0.656446
M1_ctrl_s0,19,SMC <70,15,0.545541,0.442673,0.624811,0,nan,nan,nan
M1_ctrl_s0,19,>=70 bpm,508,0.881783,0.829694,0.893215,433,0.874789,0.836242,0.920974
M1_ctrl_s0,19,bpm 0-70,63,0.696041,0.573974,0.749314,36,0.599552,0.362691,0.656446
M1_ctrl_s0,19,bpm 70-100,138,0.844067,0.818834,0.890994,97,0.856025,0.832444,0.921413
M1_ctrl_s0,19,bpm 100-130,198,0.894245,0.902292,0.924400,170,0.899639,0.912870,0.942531
M1_ctrl_s0,19,bpm 130-160,88,0.900345,0.831096,0.920869,82,0.877937,0.816408,0.921361
M1_ctrl_s0,19,bpm 160+,84,0.894924,0.674943,0.794386,84,0.843091,0.704905,0.876464
M1_ctrl_s0,19,ds:asap,56,0.792093,0.590227,0.751227,56,0.656072,0.327680,0.709196
M1_ctrl_s0,19,ds:ballroom,86,0.951508,0.916585,0.916585,86,0.935687,0.949413,0.959878
M1_ctrl_s0,19,ds:beatles,23,0.911535,0.856012,0.913169,23,0.889606,0.843170,0.886648
M1_ctrl_s0,19,ds:candombe,5,0.852511,0.873504,0.873504,5,0.862637,1.000000,1.000000
M1_ctrl_s0,19,ds:filosax,6,0.984629,0.856240,0.856240,6,0.984848,1.000000,1.000000
M1_ctrl_s0,19,ds:groove_midi,42,0.895518,0.864432,0.927273,42,0.870629,0.837049,0.923206
M1_ctrl_s0,19,ds:guitarset,23,0.817201,0.804179,0.827895,23,0.803982,0.928777,0.928777
M1_ctrl_s0,19,ds:hainsworth,28,0.881798,0.819147,0.871414,28,0.680944,0.621122,0.813462
M1_ctrl_s0,19,ds:harmonix,114,0.929713,0.880842,0.970322,114,0.905269,0.859860,0.948499
M1_ctrl_s0,19,ds:hjdb,29,0.955085,0.933057,0.933057,29,0.928273,0.941100,0.944932
M1_ctrl_s0,19,ds:jaah,15,0.929997,0.695594,0.762261,15,0.796477,0.765079,0.825944
M1_ctrl_s0,19,ds:rwc,29,0.856212,0.740005,0.842371,29,0.848198,0.803183,0.894075
M1_ctrl_s0,19,ds:simac,75,0.704332,0.725288,0.836008,0,nan,nan,nan
M1_ctrl_s0,19,ds:smc,27,0.611610,0.551836,0.696200,0,nan,nan,nan
M1_ctrl_s0,19,ds:tapcorrect,13,0.890217,0.782280,0.933427,13,0.898847,0.827935,0.922599
M1_ctrl_s1,19,ALL,571,0.867962,0.811022,0.877439,469,0.859925,0.797018,0.893284
M1_ctrl_s1,19,SMC,27,0.629024,0.618970,0.730855,0,nan,nan,nan
M1_ctrl_s1,19,<70 bpm,63,0.695090,0.597415,0.726420,36,0.609269,0.359746,0.616800
M1_ctrl_s1,19,SMC <70,15,0.578366,0.598505,0.728664,0,nan,nan,nan
